"xx","V1","V12","predicted_price"
1,"2015-07-07 03:00:00",56.9,0
2,"2015-05-10 20:00:00",56.55,48.8694714998684
3,"2015-05-05 18:00:00",54.74,50.7333507655794
4,"2015-08-24 01:00:00",30,52.4941340262071
5,"2015-08-01 23:00:00",46.86,55.7742062773079
6,"2015-04-03 09:00:00",39.25,56.9823964501407
7,"2015-07-08 03:00:00",48.5,58.4292065347156
8,"2015-08-08 05:00:00",43.49,56.4447141452718
9,"2015-08-24 07:00:00",59.57,53.5153552682056
10,"2015-08-23 03:00:00",40.13,51.3073988288816
11,"2015-08-27 02:00:00",45,51.6394599415832
12,"2015-08-27 06:00:00",49.85,50.7796783179651
13,"2015-06-18 07:00:00",50.07,52.0093609678264
14,"2015-08-27 04:00:00",49,50.8186776634541
15,"2015-03-21 13:00:00",43.69,50.5773247289872
16,"2015-10-02 18:00:00",63.03,51.9966456427773
17,"2015-08-08 06:00:00",45.59,52.5955910725169
18,"2015-08-10 04:00:00",53.56,54.1348954283955
19,"2015-04-01 11:00:00",38.12,56.1949495605347
20,"2015-08-10 05:00:00",55.89,53.4610895439372
21,"2015-08-02 06:00:00",40.16,49.9608647472288
22,"2015-07-13 06:00:00",65.1,51.1126161040719
23,"2015-10-11 01:00:00",39.58,52.3266873006494
24,"2015-04-30 19:00:00",59.85,47.5135895121447
25,"2015-09-17 08:00:00",55,48.6195026091462
26,"2015-06-24 08:00:00",64.19,46.8636352743774
27,"2015-04-24 13:00:00",53.28,46.6061646290097
28,"2015-07-24 07:00:00",68.6,41.0086491141624
29,"2015-09-19 23:00:00",41,44.2565192808274
30,"2015-05-08 06:00:00",39.25,46.5879850249419
31,"2015-10-14 00:00:00",38.35,48.1049337610458
32,"2015-04-18 20:00:00",55.76,50.5952760524461
33,"2015-04-06 17:00:00",40.32,46.3061405065307
34,"2015-06-11 06:00:00",62.59,44.3715273402615
35,"2015-08-27 01:00:00",46.78,41.4447541858589
36,"2015-08-28 02:00:00",49.85,42.1783554150991
37,"2015-07-04 06:00:00",59.69,43.3180837172151
38,"2015-05-29 20:00:00",56,38.1637672054317
39,"2015-07-16 14:00:00",65.1,39.4435939940349
40,"2015-01-02 13:00:00",58.69,41.2218474200257
41,"2015-03-30 22:00:00",39.5,40.9764158507682
42,"2015-03-19 04:00:00",30,40.1160815404333
43,"2015-04-23 06:00:00",65.1,45.1757797712835
